name_1_serial,name_2_serial,observed_count,null_mean,null_std,z_score,p_value,significant_p05
56,94,1,0.4221,0.6457,0.895,0.3471,False
1,57,11,9.0651,1.9918,0.9714,0.2426,False
1,30,12,10.7466,2.109,0.5943,0.3629,False
1,51,13,10.7514,2.1443,1.0486,0.2099,False
20,30,1,1.032,0.9933,-0.0322,0.6526,False
20,38,1,1.5469,1.2013,-0.4552,0.7968,False
20,51,1,0.9988,0.9691,0.0012,0.6448,False
20,68,3,3.3663,1.7596,-0.2082,0.6657,False
30,38,1,0.194,0.44,1.832,0.1762,False
30,51,1,0.1307,0.3556,2.4449,0.1245,False
30,68,3,0.4427,0.6491,3.9398,0.0075,True
38,51,1,0.1947,0.44,1.8303,0.1772,False
38,68,1,0.6487,0.7924,0.4433,0.482,False
51,68,1,0.4323,0.6419,0.8844,0.358,False
1,88,3,1.6986,0.8636,1.507,0.185,False
1,24,1,1.1155,0.698,-0.1655,0.8075,False
20,80,1,1.2249,1.0862,-0.207,0.7141,False
32,68,1,0.7501,0.8501,0.294,0.5334,False
32,75,1,0.315,0.5455,1.2557,0.277,False
68,75,1,0.6178,0.7722,0.4949,0.4674,False
1,53,8,6.8017,1.7183,0.6974,0.348,False
20,33,2,0.7455,0.8419,1.4902,0.168,False
3,4,3,2.3864,1.5132,0.4055,0.4295,False
35,4,3,1.5803,1.2204,1.1633,0.2079,False
35,68,1,1.4324,1.1653,-0.3711,0.7682,False
1,29,12,14.7055,2.5066,-1.0793,0.8965,False
29,30,1,0.174,0.4192,1.9704,0.1591,False
1,41,1,0.5748,0.4944,0.8601,0.5748,False
1,89,13,10.1938,2.087,1.3446,0.1325,False
56,68,1,1.0492,1.0148,-0.0485,0.6551,False
1,87,3,1.7016,0.8586,1.5123,0.1826,False
29,87,1,0.0286,0.1685,5.766,0.0283,True
1,8,2,1.1338,0.7016,1.2345,0.322,False
1,44,1,1.6958,0.8577,-0.8112,0.918,False
44,51,1,0.0232,0.1525,6.4045,0.0229,True
30,94,1,0.1748,0.4153,1.9872,0.1612,False
32,47,4,0.967,0.9627,3.1507,0.015,True
51,75,1,0.1888,0.431,1.8822,0.1733,False
1,70,2,1.7208,0.854,0.3269,0.6074,False
