subgraph_size,jjk_composition,shape,observed_count,null_mean,null_std,z_score,p_value,significant
3,Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,2edges,11,7.9523,3.5766,0.8521,0.2237,False
4,Jamāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic,4edges,12,7.7584,5.6413,0.7519,0.2279,False
4,Jamāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic,3edges,60,47.1268,18.4771,0.6967,0.2283,False
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,9,5.7035,4.1963,0.7856,0.2296,False
4,Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,4edges,1,0.412,0.961,0.6119,0.2306,False
4,Disputed + Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological,4edges,37,30.7906,7.7645,0.7997,0.2334,False
4,Disputed + Jalāl + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,177,157.2428,29.456,0.6707,0.234,False
3,Disputed + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale),2edges,20,18.1871,2.6939,0.673,0.234,False
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,47,37.3383,13.2067,0.7316,0.2345,False
4,Jalāl + Jalāl + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,1,0.5772,1.336,0.3165,0.2397,False
4,Jamāl + Jamāl + Jamāl + Kamāl-epistemic,3edges,48,37.3326,17.1174,0.6232,0.2436,False
4,Disputed + Jalāl + Jamāl + Kamāl-ontological,3edges,2398,2294.9609,154.8905,0.6652,0.2454,False
4,Disputed + Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),complete,1,0.2989,0.5655,1.2398,0.2496,False
4,Jamāl + Jamāl + Jamāl + Kamāl-ontological,4edges,3,1.5471,2.1519,0.6752,0.2534,False
4,Jamāl + Kamāl-ontological + Kamāl-ontological + Kamāl-ontological,3edges,4,2.4171,3.1376,0.5045,0.26,False
4,Disputed + Jalāl + Jalāl + Kamāl-ontological,4edges,165,145.042,30.3169,0.6583,0.2637,False
3,Jamāl + Kamāl-epistemic + Kamāl-ontological,2edges,29,24.5066,6.6122,0.6796,0.2672,False
4,Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,12,8.2994,6.4257,0.5759,0.2676,False
3,Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),complete,1,0.3298,0.5888,1.1383,0.2737,False
4,Disputed + Jamāl + Jamāl + Kamāl-ontological,complete,1,0.3569,0.6141,1.0472,0.2926,False
4,Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,3edges,5,3.4972,3.8209,0.3933,0.304,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),5edges,3,1.8066,1.6178,0.7377,0.3077,False
4,Jamāl + Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological,4edges,6,4.2641,3.5903,0.4835,0.3125,False
3,Jamāl + Jamāl + Kamāl-ontological,complete,1,0.4019,0.6519,0.9175,0.3227,False
4,Disputed + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,4edges,7,4.8639,3.1954,0.6685,0.3242,False
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,4edges,2,1.3116,1.7073,0.4032,0.334,False
3,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),2edges,3,1.9347,1.6672,0.639,0.3368,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,9,7.1109,2.7952,0.6758,0.3371,False
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,3edges,10,8.1173,5.7302,0.3286,0.3383,False
4,Jalāl + Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,3,2.3102,2.857,0.2414,0.3402,False
4,Disputed + Jalāl + Kamāl-ontological + Kamāl-ontological,3edges,358,325.1136,55.4533,0.593,0.3441,False
4,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,3edges,2,1.5748,2.0871,0.2037,0.3481,False
3,Disputed + Jalāl + Jalāl,2edges,195,188.0227,18.1142,0.3852,0.3556,False
3,Disputed + Kamāl-epistemic + Kamāl-ontological,2edges,43,39.8805,4.3648,0.7147,0.3577,False
4,Disputed + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,5edges,1,0.5595,0.9032,0.4877,0.3594,False
4,Jamāl + Jamāl + Jamāl + Kamāl-ontological,3edges,19,16.677,9.6768,0.2401,0.3663,False
4,Jalāl + Kamāl-epistemic + Kamāl-ontological + Kamāl-ontological,3edges,30,27.2863,11.5169,0.2356,0.3891,False
3,Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,2edges,1,0.6241,0.9532,0.3944,0.3905,False
4,Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,3edges,4,3.3049,3.037,0.2289,0.3979,False
4,Jalāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,4edges,4,3.444,3.333,0.1668,0.3986,False
4,Jamāl + Jamāl + Kamāl-ontological + Kamāl-ontological,3edges,13,11.9091,7.9123,0.1379,0.4046,False
4,Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,3edges,4,3.5687,3.6607,0.1178,0.4074,False
3,Disputed + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),complete,2,1.3324,0.9012,0.7408,0.408,False
4,Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,4edges,1,0.9746,1.6262,0.0156,0.4097,False
4,Jamāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,18,16.6271,9.898,0.1387,0.4197,False
4,Jalāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,4edges,11,9.93,5.5894,0.1914,0.4219,False
4,Jalāl + Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,2,2.1643,2.7178,-0.0605,0.4287,False
4,Jalāl + Jalāl + Jalāl + Kamāl-ontological,3edges,19,18.2333,10.5861,0.0724,0.4304,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-ontological,5edges,23,21.743,6.4138,0.196,0.4349,False
